car_probabilities_1,car_probabilities_2,ALPHA,GAMMA,Use_Q_Matrix,Fixed_time_light_change,SIMULATION_TIME,vehicles_stopped,cars_passed
0.2,0.2,0.1,0.1,1,0,100000,36247,40108
0.2,0.2,0.1,0.15,1,0,100000,35487,40301
0.2,0.2,0.1,0.2,1,0,100000,34891,40210
0.2,0.2,0.1,0.25,1,0,100000,33371,39879
0.2,0.2,0.1,0.3,1,0,100000,34245,39871
0.2,0.2,0.1,0.35,1,0,100000,34697,39944
0.2,0.2,0.1,0.4,1,0,100000,32320,39983
0.2,0.2,0.1,0.45,1,0,100000,33845,40047
0.2,0.2,0.1,0.5,1,0,100000,31180,39920
0.2,0.2,0.1,0.55,1,0,100000,32241,40025
0.2,0.2,0.1,0.6,1,0,100000,30597,40278
0.2,0.2,0.1,0.65,1,0,100000,30507,39904
0.2,0.2,0.1,0.7,1,0,100000,30088,39959
0.2,0.2,0.1,0.75,1,0,100000,32124,39849
0.2,0.2,0.1,0.8,1,0,100000,29826,39971
0.2,0.2,0.1,0.85,1,0,100000,29398,39983
0.2,0.2,0.1,0.9,1,0,100000,28975,39978
0.2,0.2,0.15,0.1,1,0,100000,34388,40132
0.2,0.2,0.15,0.15,1,0,100000,35381,40195
0.2,0.2,0.15,0.2,1,0,100000,32159,39773
0.2,0.2,0.15,0.25,1,0,100000,31860,39986
0.2,0.2,0.15,0.3,1,0,100000,32617,39839
0.2,0.2,0.15,0.35,1,0,100000,31458,39834
0.2,0.2,0.15,0.4,1,0,100000,32419,39961
0.2,0.2,0.15,0.45,1,0,100000,28315,40061
0.2,0.2,0.15,0.5,1,0,100000,30127,40006
0.2,0.2,0.15,0.55,1,0,100000,31345,40168
0.2,0.2,0.15,0.6,1,0,100000,31117,39968
0.2,0.2,0.15,0.65,1,0,100000,28246,39717
0.2,0.2,0.15,0.7,1,0,100000,28912,40090
0.2,0.2,0.15,0.75,1,0,100000,29996,39897
0.2,0.2,0.15,0.8,1,0,100000,30776,40336
0.2,0.2,0.15,0.85,1,0,100000,28143,40097
0.2,0.2,0.15,0.9,1,0,100000,30286,39709
0.2,0.2,0.2,0.1,1,0,100000,33551,40124
0.2,0.2,0.2,0.15,1,0,100000,32272,40146
0.2,0.2,0.2,0.2,1,0,100000,31711,39897
0.2,0.2,0.2,0.25,1,0,100000,31941,40059
0.2,0.2,0.2,0.3,1,0,100000,31210,40157
0.2,0.2,0.2,0.35,1,0,100000,30892,39972
0.2,0.2,0.2,0.4,1,0,100000,29850,39929
0.2,0.2,0.2,0.45,1,0,100000,29677,39643
0.2,0.2,0.2,0.5,1,0,100000,28831,39937
0.2,0.2,0.2,0.55,1,0,100000,30101,39765
0.2,0.2,0.2,0.6,1,0,100000,30563,39888
0.2,0.2,0.2,0.65,1,0,100000,28925,40050
0.2,0.2,0.2,0.7,1,0,100000,28316,39797
0.2,0.2,0.2,0.75,1,0,100000,29478,39761
0.2,0.2,0.2,0.8,1,0,100000,28671,39742
0.2,0.2,0.2,0.85,1,0,100000,29871,40087
0.2,0.2,0.2,0.9,1,0,100000,28603,39787
0.2,0.2,0.25,0.1,1,0,100000,31039,40148
0.2,0.2,0.25,0.15,1,0,100000,32604,40055
0.2,0.2,0.25,0.2,1,0,100000,28527,39966
0.2,0.2,0.25,0.25,1,0,100000,31445,40170
0.2,0.2,0.25,0.3,1,0,100000,28647,39897
0.2,0.2,0.25,0.35,1,0,100000,29483,40183
0.2,0.2,0.25,0.4,1,0,100000,29459,40145
0.2,0.2,0.25,0.45,1,0,100000,28407,39742
0.2,0.2,0.25,0.5,1,0,100000,30126,40143
0.2,0.2,0.25,0.55,1,0,100000,30710,40131
0.2,0.2,0.25,0.6,1,0,100000,30201,39891
0.2,0.2,0.25,0.65,1,0,100000,30006,39958
0.2,0.2,0.25,0.7,1,0,100000,29669,40123
0.2,0.2,0.25,0.75,1,0,100000,27884,40071
0.2,0.2,0.25,0.8,1,0,100000,28597,40145
0.2,0.2,0.25,0.85,1,0,100000,29412,40127
0.2,0.2,0.25,0.9,1,0,100000,28145,39713
0.2,0.2,0.3,0.1,1,0,100000,30748,40229
0.2,0.2,0.3,0.15,1,0,100000,30699,40106
0.2,0.2,0.3,0.2,1,0,100000,30137,40109
0.2,0.2,0.3,0.25,1,0,100000,28633,39750
0.2,0.2,0.3,0.3,1,0,100000,29981,39952
0.2,0.2,0.3,0.35,1,0,100000,30405,39785
0.2,0.2,0.3,0.4,1,0,100000,28238,39899
0.2,0.2,0.3,0.45,1,0,100000,31118,40205
0.2,0.2,0.3,0.5,1,0,100000,28125,40178
0.2,0.2,0.3,0.55,1,0,100000,29080,40064
0.2,0.2,0.3,0.6,1,0,100000,30477,40303
0.2,0.2,0.3,0.65,1,0,100000,28858,40161
0.2,0.2,0.3,0.7,1,0,100000,27926,39956
0.2,0.2,0.3,0.75,1,0,100000,27988,40033
0.2,0.2,0.3,0.8,1,0,100000,29063,39945
0.2,0.2,0.3,0.85,1,0,100000,28423,39980
0.2,0.2,0.3,0.9,1,0,100000,28165,40066
0.2,0.2,0.35,0.1,1,0,100000,30435,40021
0.2,0.2,0.35,0.15,1,0,100000,30366,39852
0.2,0.2,0.35,0.2,1,0,100000,31430,39901
0.2,0.2,0.35,0.25,1,0,100000,30577,39924
0.2,0.2,0.35,0.3,1,0,100000,30871,40214
0.2,0.2,0.35,0.35,1,0,100000,30784,40201
0.2,0.2,0.35,0.4,1,0,100000,28763,40021
0.2,0.2,0.35,0.45,1,0,100000,28356,40113
0.2,0.2,0.35,0.5,1,0,100000,27645,40077
0.2,0.2,0.35,0.55,1,0,100000,28832,40182
0.2,0.2,0.35,0.6,1,0,100000,29673,40325
0.2,0.2,0.35,0.65,1,0,100000,29597,39700
0.2,0.2,0.35,0.7,1,0,100000,27767,40108
0.2,0.2,0.35,0.75,1,0,100000,28440,39795
0.2,0.2,0.35,0.8,1,0,100000,26716,39806
0.2,0.2,0.35,0.85,1,0,100000,28375,39967
0.2,0.2,0.35,0.9,1,0,100000,29874,40392
0.2,0.2,0.4,0.1,1,0,100000,30247,40272
0.2,0.2,0.4,0.15,1,0,100000,31541,40134
0.2,0.2,0.4,0.2,1,0,100000,31082,40050
0.2,0.2,0.4,0.25,1,0,100000,30487,40032
0.2,0.2,0.4,0.3,1,0,100000,27920,40040
0.2,0.2,0.4,0.35,1,0,100000,28655,39855
0.2,0.2,0.4,0.4,1,0,100000,28664,40053
0.2,0.2,0.4,0.45,1,0,100000,28320,39859
0.2,0.2,0.4,0.5,1,0,100000,27627,40057
0.2,0.2,0.4,0.55,1,0,100000,28395,39835
0.2,0.2,0.4,0.6,1,0,100000,28398,39988
0.2,0.2,0.4,0.65,1,0,100000,28987,40163
0.2,0.2,0.4,0.7,1,0,100000,28137,40094
0.2,0.2,0.4,0.75,1,0,100000,27283,39991
0.2,0.2,0.4,0.8,1,0,100000,29430,40153
0.2,0.2,0.4,0.85,1,0,100000,28193,40110
0.2,0.2,0.4,0.9,1,0,100000,28341,39905
0.2,0.2,0.45,0.1,1,0,100000,31371,40381
0.2,0.2,0.45,0.15,1,0,100000,29287,40126
0.2,0.2,0.45,0.2,1,0,100000,29820,39690
0.2,0.2,0.45,0.25,1,0,100000,30089,39814
0.2,0.2,0.45,0.3,1,0,100000,28940,40095
0.2,0.2,0.45,0.35,1,0,100000,27333,39936
0.2,0.2,0.45,0.4,1,0,100000,28053,39691
0.2,0.2,0.45,0.45,1,0,100000,27810,39577
0.2,0.2,0.45,0.5,1,0,100000,27161,39614
0.2,0.2,0.45,0.55,1,0,100000,27171,39842
0.2,0.2,0.45,0.6,1,0,100000,28669,39900
0.2,0.2,0.45,0.65,1,0,100000,28863,40087
0.2,0.2,0.45,0.7,1,0,100000,29176,40097
0.2,0.2,0.45,0.75,1,0,100000,27913,40042
0.2,0.2,0.45,0.8,1,0,100000,28571,39496
0.2,0.2,0.45,0.85,1,0,100000,28954,40218
0.2,0.2,0.45,0.9,1,0,100000,26332,39794
0.2,0.2,0.5,0.1,1,0,100000,30549,40164
0.2,0.2,0.5,0.15,1,0,100000,29538,39905
0.2,0.2,0.5,0.2,1,0,100000,30669,39984
0.2,0.2,0.5,0.25,1,0,100000,29812,40154
0.2,0.2,0.5,0.3,1,0,100000,29249,40071
0.2,0.2,0.5,0.35,1,0,100000,27298,39759
0.2,0.2,0.5,0.4,1,0,100000,30298,40042
0.2,0.2,0.5,0.45,1,0,100000,28794,39930
0.2,0.2,0.5,0.5,1,0,100000,28478,40128
0.2,0.2,0.5,0.55,1,0,100000,27774,40243
0.2,0.2,0.5,0.6,1,0,100000,27918,40181
0.2,0.2,0.5,0.65,1,0,100000,29693,39789
0.2,0.2,0.5,0.7,1,0,100000,27176,40363
0.2,0.2,0.5,0.75,1,0,100000,27696,40011
0.2,0.2,0.5,0.8,1,0,100000,29193,40066
0.2,0.2,0.5,0.85,1,0,100000,28024,40452
0.2,0.2,0.5,0.9,1,0,100000,27511,39972
0.2,0.2,0.55,0.1,1,0,100000,29226,40351
0.2,0.2,0.55,0.15,1,0,100000,30465,39655
0.2,0.2,0.55,0.2,1,0,100000,28760,39846
0.2,0.2,0.55,0.25,1,0,100000,28811,39893
0.2,0.2,0.55,0.3,1,0,100000,27551,40012
0.2,0.2,0.55,0.35,1,0,100000,26987,39938
