car_probabilities_1,car_probabilities_2,ALPHA,GAMMA,Use_Q_Matrix,Fixed_time_light_change,SIMULATION_TIME,vehicles_stopped,cars_passed
0.1,0.1,0.9,0.9,1,0,10000,850,2031
0.1,0.1,0.9,0.9,0,3,10000,2187,1950
0.2,0.2,0.9,0.9,1,0,10000,3402,4025
0.2,0.2,0.9,0.9,0,3,10000,5281,4017
0.3,0.3,0.9,0.9,1,0,10000,7577,6015
0.3,0.3,0.9,0.9,0,3,10000,10168,6033
0.4,0.4,0.9,0.9,1,0,10000,15111,7928
0.4,0.4,0.9,0.9,0,3,10000,21468,7994
0.5,0.5,0.9,0.9,1,0,10000,29514,9246
0.5,0.5,0.9,0.9,0,3,10000,41606,9368
0.6,0.6,0.9,0.9,1,0,10000,49147,9880
0.6,0.6,0.9,0.9,0,3,10000,62862,9890
0.7,0.7,0.9,0.9,1,0,10000,63743,9895
0.7,0.7,0.9,0.9,0,3,10000,75091,9980
0.8,0.8,0.9,0.9,1,0,10000,75591,9673
0.8,0.8,0.9,0.9,0,3,10000,81848,9988
0.9,0.9,0.9,0.9,1,0,10000,82406,9899
0.9,0.9,0.9,0.9,0,3,10000,86519,9989
